,Date, Close/Last, Volume, Open, High, Low
66,11/21/2019,262.01,30348780, $263.69, $264.005, $261.18
67,11/20/2019,263.19,26609920, $265.54, $266.083, $260.4
68,11/19/2019,266.29,19069600, $267.9, $268, $265.3926
69,11/18/2019,267.1,21700900, $265.8, $267.43, $264.23
70,11/15/2019,265.76,25093670, $263.68, $265.78, $263.01
71,11/14/2019,262.64,22395560, $263.75, $264.88, $262.1
72,11/13/2019,264.47,25817590, $261.13, $264.78, $261.07
73,11/12/2019,261.96,21847230, $261.55, $262.79, $260.92
74,11/11/2019,262.2,20507460, $258.3, $262.47, $258.28
75,11/08/2019,260.14,17520500, $258.69, $260.44, $256.85
76,11/07/2019,259.43,23735080, $258.74, $260.35, $258.11
77,11/06/2019,257.24,18966120, $256.77, $257.49, $255.365
78,11/05/2019,257.13,19974430, $257.05, $258.19, $256.32
79,11/04/2019,257.5,25817950, $257.33, $257.845, $255.38
80,11/01/2019,255.82,37781330, $249.54, $255.93, $249.16
81,10/31/2019,248.76,34790520, $247.24, $249.17, $237.26
82,10/30/2019,243.26,31130520, $244.76, $245.3, $241.21
83,10/29/2019,243.29,35709870, $248.97, $249.75, $242.57
84,10/28/2019,249.05,24143240, $247.42, $249.25, $246.72
85,10/25/2019,246.58,18369300, $243.16, $246.73, $242.88
86,10/24/2019,243.58,17916260, $244.51, $244.8, $241.805
87,10/23/2019,243.18,19932550, $242.1, $243.24, $241.22
88,10/22/2019,239.96,22684000, $241.16, $242.2, $239.6218
89,10/21/2019,240.51,22367480, $237.52, $240.99, $237.32
90,10/18/2019,236.41,24377170, $234.59, $237.58, $234.29
91,10/17/2019,235.28,17272900, $235.09, $236.15, $233.52
92,10/16/2019,234.37,19286690, $233.37, $235.24, $233.2
93,10/15/2019,235.32,23040480, $236.39, $237.65, $234.88
94,10/14/2019,235.87,24413480, $234.9, $238.1342, $234.6701
95,10/11/2019,236.21,41990210, $232.95, $237.64, $232.3075
96,10/10/2019,230.09,28962980, $227.93, $230.44, $227.3
97,10/09/2019,227.03,19029420, $227.03, $227.79, $225.64
98,10/08/2019,224.4,29282700, $225.82, $228.06, $224.33
99,10/07/2019,227.06,30889270, $226.27, $229.93, $225.84
100,10/04/2019,227.01,34755550, $225.64, $227.49, $223.89
101,10/03/2019,220.82,30352690, $218.43, $220.96, $215.132
102,10/02/2019,218.96,35767260, $223.06, $223.58, $217.93
103,10/01/2019,224.59,36187160, $225.07, $228.22, $224.2
104,09/30/2019,223.97,26318580, $220.9, $224.58, $220.79
105,09/27/2019,218.82,25361290, $220.54, $220.96, $217.2814
106,09/26/2019,219.89,19088310, $220, $220.94, $218.83
107,09/25/2019,221.03,22481010, $218.55, $221.5, $217.1402
108,09/24/2019,217.68,31434370, $221.03, $222.49, $217.19
109,09/23/2019,218.72,19419650, $218.95, $219.84, $217.65
110,09/20/2019,217.73,57977090, $221.38, $222.56, $217.473
111,09/19/2019,220.96,22187880, $222.01, $223.76, $220.37
112,09/18/2019,222.77,25643090, $221.06, $222.85, $219.44
113,09/17/2019,220.7,18386470, $219.96, $220.82, $219.12
114,09/16/2019,219.9,21158140, $217.73, $220.13, $217.56
115,09/13/2019,218.75,39763300, $220, $220.79, $217.02
116,09/12/2019,223.085,32226670, $224.8, $226.42, $222.86
117,09/11/2019,223.59,44289650, $218.07, $223.71, $217.73
118,09/10/2019,216.7,31777930, $213.86, $216.78, $211.71
119,09/09/2019,214.17,27309400, $214.84, $216.44, $211.07
120,09/06/2019,213.26,19362290, $214.05, $214.42, $212.51
121,09/05/2019,213.28,23946880, $212, $213.97, $211.51
122,09/04/2019,209.19,19216820, $208.39, $209.48, $207.32
123,09/03/2019,205.7,20059570, $206.43, $206.98, $204.22
124,08/30/2019,208.74,21162560, $210.16, $210.45, $207.2
125,08/29/2019,209.01,21007650, $208.5, $209.32, $206.655
126,08/28/2019,205.53,15957630, $204.1, $205.72, $203.32
127,08/27/2019,204.16,25897340, $207.86, $208.55, $203.53
128,08/26/2019,206.49,26066130, $205.86, $207.19, $205.0573
129,08/23/2019,202.64,46882840, $209.43, $212.051, $201
130,08/22/2019,212.46,22267820, $213.19, $214.435, $210.75
131,08/21/2019,212.64,21564750, $212.99, $213.65, $211.6032
132,08/20/2019,210.36,26919530, $210.88, $213.35, $210.32
133,08/19/2019,210.35,24431920, $210.62, $212.7307, $210.025
134,08/16/2019,206.5,28813620, $204.28, $207.16, $203.84
135,08/15/2019,201.74,27883360, $203.46, $205.14, $199.67
136,08/14/2019,202.75,36547440, $203.16, $206.44, $202.5869
137,08/13/2019,208.97,47539790, $201.02, $212.14, $200.83
138,08/12/2019,200.48,22481890, $199.62, $202.0516, $199.15
139,08/09/2019,200.99,24619750, $201.3, $202.76, $199.29
140,08/08/2019,203.43,27009520, $200.2, $203.53, $199.39
141,08/07/2019,199.04,33364400, $195.41, $199.56, $193.82
142,08/06/2019,197.0,35824790, $196.31, $198.067, $194.04
143,08/05/2019,193.34,52392970, $197.99, $198.649, $192.58
144,08/02/2019,204.02,40862120, $205.53, $206.43, $201.63
145,08/01/2019,208.43,54017920, $213.9, $218.03, $206.7435
146,07/31/2019,213.04,69281360, $216.42, $221.37, $211.3
147,07/30/2019,208.78,33935720, $208.76, $210.16, $207.31
148,07/29/2019,209.68,21673390, $208.46, $210.64, $208.44
149,07/26/2019,207.74,17618870, $207.48, $209.73, $207.14
150,07/25/2019,207.02,13909560, $208.89, $209.24, $206.73
151,07/24/2019,208.67,14991570, $207.67, $209.15, $207.17
152,07/23/2019,208.84,18355210, $208.46, $208.91, $207.29
153,07/22/2019,207.22,22277930, $203.65, $207.23, $203.61
154,07/19/2019,202.59,20929310, $205.79, $206.5, $202.36
155,07/18/2019,205.66,18582160, $204, $205.88, $203.7
156,07/17/2019,203.35,14107450, $204.05, $205.0915, $203.27
157,07/16/2019,204.5,16866820, $204.59, $206.11, $203.5
158,07/15/2019,205.21,16947420, $204.09, $205.87, $204
159,07/12/2019,203.3,17595210, $202.45, $204, $202.2
160,07/11/2019,201.75,20191840, $203.31, $204.39, $201.71
161,07/10/2019,203.23,17897140, $201.85, $203.73, $201.56
162,07/09/2019,201.24,20578020, $199.2, $201.51, $198.81
163,07/08/2019,200.02,25338630, $200.81, $201.4, $198.41
164,07/05/2019,204.23,17265520, $203.35, $205.08, $202.9
165,07/03/2019,204.41,11362050, $203.28, $204.44, $202.6901
166,07/02/2019,202.73,16935220, $201.41, $203.1323, $201.36
167,07/01/2019,201.55,27316740, $203.17, $204.49, $200.65
168,06/28/2019,197.92,31110640, $198.68, $199.495, $197.05
169,06/27/2019,199.74,20899720, $200.29, $201.57, $199.57
170,06/26/2019,199.8,26067510, $197.77, $200.99, $197.35
171,06/25/2019,195.57,21070330, $198.43, $199.26, $195.29
172,06/24/2019,198.58,18220420, $198.54, $200.16, $198.17
173,06/21/2019,198.78,47800590, $198.8, $200.85, $198.15
174,06/20/2019,199.46,21513990, $200.37, $200.61, $198.03
175,06/19/2019,197.87,21124240, $199.68, $199.88, $197.31
176,06/18/2019,198.45,26551000, $196.05, $200.29, $195.21
177,06/17/2019,193.89,14669140, $192.9, $194.96, $192.17
178,06/14/2019,192.74,18761470, $191.545, $193.5863, $190.3
179,06/13/2019,194.15,21674630, $194.7, $196.79, $193.6
180,06/12/2019,194.19,18253190, $193.95, $195.97, $193.385
181,06/11/2019,194.81,26932880, $194.86, $196, $193.6
182,06/10/2019,192.58,26220850, $191.81, $195.37, $191.62
183,06/07/2019,190.15,30684390, $186.51, $191.92, $185.77
184,06/06/2019,185.22,22526310, $183.08, $185.47, $182.1489
185,06/05/2019,182.54,29773430, $184.28, $184.99, $181.14
186,06/04/2019,179.64,30967960, $175.44, $179.83, $174.52
187,06/03/2019,173.3,40396070, $175.6, $177.92, $170.27
188,05/31/2019,175.07,27043580, $176.23, $177.99, $174.99
189,05/30/2019,178.3,21218410, $177.95, $179.23, $176.67
190,05/29/2019,177.38,28481170, $176.42, $179.35, $176
191,05/28/2019,178.23,27948160, $178.92, $180.59, $177.91
192,05/24/2019,178.97,23714690, $180.2, $182.14, $178.62
193,05/23/2019,179.66,36529740, $179.8, $180.54, $177.81
194,05/22/2019,182.78,29748560, $184.66, $185.71, $182.55
195,05/21/2019,186.6,28364850, $185.22, $188, $184.7
196,05/20/2019,183.09,38612290, $183.52, $184.349, $180.2839
197,05/17/2019,189.0,32879090, $186.93, $190.9, $186.76
198,05/16/2019,190.08,33031360, $189.91, $192.4689, $188.84
199,05/15/2019,190.92,26544720, $186.27, $191.75, $186.02
200,05/14/2019,188.66,36529680, $186.41, $189.7, $185.41
201,05/13/2019,185.72,57430620, $187.71, $189.48, $182.85
202,05/10/2019,197.18,41208710, $197.419, $198.85, $192.77
203,05/09/2019,200.72,34908610, $200.4, $201.68, $196.66
204,05/08/2019,202.9,26339500, $201.9, $205.34, $201.75
205,05/07/2019,202.86,38763700, $205.88, $207.4175, $200.825
206,05/06/2019,208.48,32443110, $204.29, $208.84, $203.5
207,05/03/2019,211.75,20892380, $210.89, $211.84, $210.23
208,05/02/2019,209.15,31996320, $209.84, $212.65, $208.13
209,05/01/2019,210.52,64827330, $209.88, $215.31, $209.23
210,04/30/2019,200.67,45751160, $203.06, $203.4, $199.11
211,04/29/2019,204.61,22010360, $204.4, $205.97, $203.86
212,04/26/2019,204.3,18612770, $204.9, $205, $202.12
213,04/25/2019,205.28,18463850, $206.83, $207.76, $205.12
214,04/24/2019,207.16,17427570, $207.36, $208.48, $207.05
215,04/23/2019,207.48,23286380, $204.43, $207.75, $203.9
216,04/22/2019,204.53,17841920, $202.83, $204.94, $202.34
217,04/18/2019,203.86,24185530, $203.12, $204.15, $202.52
218,04/17/2019,203.13,28865310, $199.54, $203.38, $198.61
219,04/16/2019,199.25,25668330, $199.46, $201.37, $198.56
220,04/15/2019,199.23,17524150, $198.58, $199.85, $198.01
221,04/12/2019,198.87,27738580, $199.2, $200.14, $196.21
222,04/11/2019,198.95,20543190, $200.85, $201, $198.4431
223,04/10/2019,200.62,21654750, $198.68, $200.74, $198.18
224,04/09/2019,199.5,35738280, $200.32, $202.85, $199.23
225,04/08/2019,200.1,25829880, $196.42, $200.23, $196.34
226,04/05/2019,197.0,18473070, $196.45, $197.1, $195.93
227,04/04/2019,195.69,19090050, $194.79, $196.37, $193.14
228,04/03/2019,195.35,23243160, $193.25, $196.5, $193.15
229,04/02/2019,194.02,22727370, $191.09, $194.46, $191.05
230,04/01/2019,191.24,27308200, $191.64, $191.68, $188.38
231,03/29/2019,189.95,23524830, $189.83, $190.08, $188.54
232,03/28/2019,188.72,20710390, $188.95, $189.559, $187.53
233,03/27/2019,188.47,29771210, $188.75, $189.76, $186.55
234,03/26/2019,186.79,49696100, $191.664, $192.88, $184.58
235,03/25/2019,188.74,43751810, $191.51, $191.98, $186.6
236,03/22/2019,191.05,42287640, $195.34, $197.69, $190.78
237,03/21/2019,195.09,50943120, $190.02, $196.33, $189.81
238,03/20/2019,188.16,31003380, $186.23, $189.49, $184.73
239,03/19/2019,186.53,31440300, $188.35, $188.99, $185.92
240,03/18/2019,188.02,26148590, $185.8, $188.39, $185.79
241,03/15/2019,186.12,39017490, $184.85, $187.33, $183.74
242,03/14/2019,183.73,23527660, $183.9, $184.1, $182.56
243,03/13/2019,181.71,30929740, $182.25, $183.3, $180.92
244,03/12/2019,180.91,32416800, $180, $182.67, $179.37
245,03/11/2019,178.9,31123000, $175.49, $179.12, $175.35
246,03/08/2019,172.91,23985960, $170.32, $173.07, $169.5
247,03/07/2019,172.5,24755470, $173.87, $174.44, $172.02
248,03/06/2019,174.52,20755140, $174.67, $175.49, $173.94
249,03/05/2019,175.53,19238480, $175.94, $176, $174.54
250,03/04/2019,175.85,27413060, $175.69, $177.75, $173.97
251,03/01/2019,174.97,25737560, $174.28, $175.15, $172.89
252,02/28/2019,173.15,27953810, $174.32, $174.91, $172.92
253,02/27/2019,174.87,27817640, $173.21, $175, $172.73
254,02/26/2019,174.33,16991610, $173.71, $175.3, $173.1732
255,02/25/2019,174.23,21846400, $174.16, $175.87, $173.95
256,02/22/2019,172.97,18890250, $171.58, $173, $171.38
257,02/21/2019,171.06,17154540, $171.8, $172.37, $170.3
258,02/20/2019,172.03,25323890, $171.19, $173.32, $170.99
259,02/19/2019,170.93,18958570, $169.71, $171.44, $169.49
260,02/15/2019,170.42,24603320, $171.25, $171.7, $169.75
261,02/14/2019,170.8,21785180, $169.71, $171.2615, $169.38
262,02/13/2019,170.18,22389660, $171.39, $172.48, $169.92
263,02/12/2019,170.89,22224400, $170.1, $171, $169.7
264,02/11/2019,169.43,20940020, $171.05, $171.21, $169.25
265,02/08/2019,170.41,23793830, $168.99, $170.66, $168.42
266,02/07/2019,170.94,31644240, $172.4, $173.94, $170.34
267,02/06/2019,174.24,28204640, $174.65, $175.57, $172.8531
268,02/05/2019,174.18,36054570, $172.86, $175.08, $172.3501
269,02/04/2019,171.25,31384720, $167.41, $171.655, $167.28
270,02/01/2019,166.52,32644590, $166.96, $168.98, $165.93
271,01/31/2019,166.44,40613260, $166.11, $169, $164.56
272,01/30/2019,165.25,60800480, $163.25, $166.15, $160.23
273,01/29/2019,154.68,39914850, $156.25, $158.13, $154.11
274,01/28/2019,156.3,26147280, $155.79, $156.33, $153.66
275,01/25/2019,157.76,33508960, $155.48, $158.13, $154.32
276,01/24/2019,152.7,25418110, $154.11, $154.48, $151.74
277,01/23/2019,153.92,23046560, $154.15, $155.14, $151.7
278,01/22/2019,153.3,30273990, $156.41, $156.73, $152.62
279,01/18/2019,156.82,33259460, $157.5, $157.88, $155.9806
280,01/17/2019,155.86,29616190, $154.2, $157.66, $153.26
281,01/16/2019,154.94,30483120, $153.08, $155.88, $153
282,01/15/2019,153.07,28449940, $150.27, $153.39, $150.05
283,01/14/2019,150.0,32018540, $150.85, $151.27, $149.22
284,01/11/2019,152.29,26924630, $152.88, $153.7, $151.51
285,01/10/2019,153.8,35661200, $152.5, $153.97, $150.86
286,01/09/2019,153.31,45034370, $151.29, $154.53, $149.63
287,01/08/2019,150.75,40622910, $149.56, $151.82, $148.52
288,01/07/2019,147.93,54571440, $148.7, $148.83, $145.9
289,01/04/2019,148.26,57423650, $144.53, $148.5499, $143.8
290,01/03/2019,142.19,91106840, $143.98, $145.72, $142
291,01/02/2019,157.92,35637070, $154.89, $158.85, $154.23
292,12/31/2018,157.74,34499390, $158.53, $159.36, $156.48
293,12/28/2018,156.23,41740600, $157.5, $158.52, $154.55
294,12/27/2018,156.15,51608850, $155.84, $156.77, $150.07
295,12/26/2018,157.17,58133850, $148.3, $157.23, $146.72
296,12/24/2018,146.83,37169230, $148.15, $151.55, $146.59
297,12/21/2018,150.73,95497900, $156.86, $158.16, $149.63
298,12/20/2018,156.83,64398230, $160.4, $162.11, $155.3
299,12/19/2018,160.89,47597670, $166, $167.45, $159.09
300,12/18/2018,166.07,33753490, $165.38, $167.53, $164.39
301,12/17/2018,163.94,43250420, $165.45, $168.35, $162.73
302,12/14/2018,165.48,40620360, $169, $169.08, $165.28
303,12/13/2018,170.95,31754210, $170.49, $172.57, $169.55
304,12/12/2018,169.1,35474680, $170.4, $171.92, $169.02
305,12/11/2018,168.63,45968040, $171.66, $171.79, $167
306,12/10/2018,169.6,61759000, $165, $170.09, $163.33
307,12/07/2018,168.49,41678680, $173.49, $174.49, $168.3
308,12/06/2018,174.72,42704910, $171.76, $174.78, $170.42
309,12/04/2018,176.69,41141250, $180.95, $182.3899, $176.27
310,12/03/2018,184.82,40537700, $184.46, $184.94, $181.21
311,11/30/2018,178.58,39424260, $180.29, $180.33, $177.03
312,11/29/2018,179.55,41523580, $182.66, $182.8, $177.7
313,11/28/2018,180.94,45941750, $176.73, $181.29, $174.93
314,11/27/2018,174.24,41156140, $171.51, $174.77, $170.88
315,11/26/2018,174.62,44662320, $174.24, $174.95, $170.26
316,11/23/2018,172.29,23623970, $174.94, $176.595, $172.1
317,11/21/2018,176.78,31096240, $179.73, $180.27, $176.55
318,11/20/2018,176.98,67678680, $178.37, $181.47, $175.51
319,11/19/2018,185.86,41626820, $190, $190.7, $184.99
320,11/16/2018,193.53,36191330, $190.5, $194.9695, $189.46
321,11/15/2018,191.41,46271660, $188.39, $191.97, $186.9
322,11/14/2018,186.8,60547340, $193.9, $194.48, $185.93
323,11/13/2018,192.23,46725710, $191.63, $197.18, $191.4501
324,11/12/2018,194.17,50991030, $199, $199.85, $193.79
325,11/09/2018,204.47,34317760, $205.55, $206.01, $202.25
326,11/08/2018,208.49,25289270, $209.98, $210.12, $206.75
327,11/07/2018,209.95,33291640, $205.97, $210.06, $204.13
328,11/06/2018,203.77,31774720, $201.92, $204.72, $201.69
329,11/05/2018,201.59,66072170, $204.3, $204.39, $198.17
330,11/02/2018,207.48,91046560, $209.55, $213.65, $205.43
331,11/01/2018,222.22,52954070, $219.05, $222.36, $216.81
332,10/31/2018,218.86,38016810, $216.88, $220.45, $216.62
333,10/30/2018,213.3,36487930, $211.15, $215.18, $209.27
334,10/29/2018,212.24,45713690, $219.19, $219.69, $206.09
335,10/26/2018,216.3,47191700, $215.9, $220.19, $212.67
336,10/25/2018,219.8,29027340, $217.71, $221.38, $216.75
337,10/24/2018,215.09,39992120, $222.6, $224.23, $214.54
338,10/23/2018,222.73,38681170, $215.83, $223.25, $214.7
339,10/22/2018,220.65,28751540, $219.79, $223.36, $218.94
340,10/19/2018,219.31,32874330, $218.06, $221.26, $217.43
341,10/18/2018,216.02,32389280, $217.86, $219.74, $213
342,10/17/2018,221.19,22692880, $222.3, $222.64, $219.34
343,10/16/2018,222.15,28802550, $218.93, $222.99, $216.7627
344,10/15/2018,217.36,30280450, $221.16, $221.83, $217.27
345,10/12/2018,222.11,39494770, $220.42, $222.88, $216.84
346,10/11/2018,214.45,52902320, $214.52, $219.5, $212.32
347,10/10/2018,216.36,41084070, $225.46, $226.35, $216.05
348,10/09/2018,226.87,26656630, $223.64, $227.27, $222.2462
349,10/08/2018,223.77,28784550, $222.21, $224.8, $220.2
350,10/05/2018,224.29,33507770, $227.96, $228.41, $220.58
351,10/04/2018,227.99,31961120, $230.78, $232.35, $226.73
352,10/03/2018,232.07,28540490, $230.05, $233.47, $229.78
353,10/02/2018,229.28,24435010, $227.25, $230, $226.63
354,10/01/2018,227.26,23171020, $227.95, $229.42, $226.35
355,09/28/2018,225.74,22560440, $224.79, $225.84, $224.02
356,09/27/2018,224.95,29729270, $223.82, $226.44, $223.54
357,09/26/2018,220.42,23430370, $221, $223.75, $219.76
358,09/25/2018,222.19,22811140, $219.75, $222.82, $219.7
359,09/24/2018,220.79,27581270, $216.82, $221.26, $216.63
360,09/21/2018,217.66,95584080, $220.78, $221.36, $217.29
361,09/20/2018,220.03,26388050, $220.24, $222.28, $219.15
362,09/19/2018,218.37,26869880, $218.5, $219.62, $215.3
363,09/18/2018,218.24,31495630, $217.79, $221.85, $217.12
364,09/17/2018,217.88,36810120, $222.15, $222.95, $217.27
365,09/14/2018,223.84,31801970, $225.75, $226.84, $222.522
366,09/13/2018,226.41,41411350, $223.52, $228.35, $222.57
367,09/12/2018,221.07,49118510, $224.94, $225, $219.84
368,09/11/2018,223.85,35644510, $218.01, $224.299, $216.56
369,09/10/2018,218.33,39194720, $220.95, $221.85, $216.47
370,09/07/2018,221.3,37418910, $221.85, $225.37, $220.71
371,09/06/2018,223.1,34121240, $226.23, $227.35, $221.3
372,09/05/2018,226.87,33290830, $228.99, $229.67, $225.1
373,09/04/2018,228.36,27363960, $228.41, $229.18, $226.63
374,08/31/2018,227.63,43177540, $226.51, $228.87, $226
375,08/30/2018,225.03,48696960, $223.25, $228.26, $222.4
376,08/29/2018,222.98,27074260, $220.15, $223.49, $219.41
377,08/28/2018,219.7,22751390, $219.01, $220.54, $218.92
378,08/27/2018,217.94,20400770, $217.15, $218.74, $216.33
379,08/24/2018,216.16,18457720, $216.6, $216.9, $215.11
380,08/23/2018,215.49,18505780, $214.65, $217.05, $214.6
381,08/22/2018,215.05,18965930, $214.1, $216.36, $213.84
382,08/21/2018,215.04,25682700, $216.8, $217.19, $214.025
383,08/20/2018,215.46,30149410, $218.1, $219.18, $215.11
384,08/17/2018,217.58,35034410, $213.44, $217.95, $213.16
385,08/16/2018,213.32,27595310, $211.75, $213.8121, $211.47
386,08/15/2018,210.24,28595230, $209.22, $210.74, $208.33
387,08/14/2018,209.75,20679270, $210.155, $210.56, $208.26
388,08/13/2018,208.87,25864510, $207.7, $210.952, $207.7
389,08/10/2018,207.53,24592460, $207.36, $209.1, $206.67
390,08/09/2018,208.88,23389530, $207.28, $209.78, $207.2
391,08/08/2018,207.25,22493750, $206.05, $207.81, $204.52
392,08/07/2018,207.11,25525650, $209.32, $209.5, $206.76
393,08/06/2018,209.07,25396100, $208, $209.25, $207.07
394,08/03/2018,207.99,33408050, $207.03, $208.74, $205.4803
395,08/02/2018,207.39,62317430, $200.58, $208.38, $200.35
396,08/01/2018,201.5,67812280, $199.13, $201.76, $197.31
397,07/31/2018,190.29,37847260, $190.3, $192.14, $189.34
398,07/30/2018,189.91,20912890, $191.9, $192.2, $189.07
399,07/27/2018,190.98,23975350, $194.99, $195.19, $190.1
400,07/26/2018,194.21,19005150, $194.61, $195.96, $193.61
401,07/25/2018,194.82,16553500, $193.06, $194.85, $192.43
402,07/24/2018,193.0,18680930, $192.45, $193.6601, $192.05
403,07/23/2018,191.61,15955820, $190.68, $191.96, $189.56
404,07/20/2018,191.44,20670830, $191.78, $192.43, $190.17
405,07/19/2018,191.88,20182050, $189.69, $192.55, $189.69
406,07/18/2018,190.4,16365720, $191.78, $191.8, $189.93
407,07/17/2018,191.45,15515000, $189.75, $191.87, $189.2
408,07/16/2018,190.91,15009800, $191.52, $192.65, $190.415
409,07/13/2018,191.33,12506830, $191.08, $191.84, $190.9
410,07/12/2018,191.03,18000180, $189.53, $191.41, $189.31
411,07/11/2018,187.88,18776390, $188.5, $189.7799, $187.61
412,07/10/2018,190.35,15801370, $190.71, $191.28, $190.1801
413,07/09/2018,190.58,19636390, $189.5, $190.68, $189.3
414,07/06/2018,187.97,17426160, $185.42, $188.434, $185.2
415,07/05/2018,185.4,16543880, $185.26, $186.41, $184.28
416,07/03/2018,183.92,13954810, $187.79, $187.95, $183.54
417,07/02/2018,187.18,17675210, $183.82, $187.3, $183.42
418,06/29/2018,185.11,22551660, $186.29, $187.19, $182.91
419,06/28/2018,185.5,17352380, $184.1, $186.21, $183.8
420,06/27/2018,184.16,24987260, $185.228, $187.28, $184.03
421,06/26/2018,184.43,24378480, $182.99, $186.53, $182.54
422,06/25/2018,182.17,31632320, $183.4, $184.92, $180.73
423,06/22/2018,184.92,27185130, $186.12, $186.15, $184.7
424,06/21/2018,185.46,25649240, $187.25, $188.35, $184.94
425,06/20/2018,186.5,20490090, $186.35, $187.2, $185.73
426,06/19/2018,185.69,33538550, $185.14, $186.33, $183.45
427,06/18/2018,188.74,18458410, $187.88, $189.22, $187.2
428,06/15/2018,188.84,61438290, $190.03, $190.16, $188.26
429,06/14/2018,190.8,21584720, $191.55, $191.57, $190.22
430,06/13/2018,190.7,21480120, $192.42, $192.88, $190.44
431,06/12/2018,192.28,16859020, $191.385, $192.611, $191.15
432,06/11/2018,191.23,18069930, $191.35, $191.97, $190.21
433,06/08/2018,191.7,26580710, $191.17, $192, $189.77
434,06/07/2018,193.46,21329170, $194.14, $194.2, $192.335
435,06/06/2018,193.98,20912820, $193.63, $194.08, $191.92
436,06/05/2018,193.31,21535570, $193.065, $193.94, $192.36
